ID,Title,Category,Plot
2549,Relative Values,"""Romantic comedy"",  ""Romance Film"",  ""Comedy"",  ""World cinema""","There is unrest in the upper class Marshwood house as Nigel, the Earl of Marshwood, is engaged to a film actress, Miranda Frayle. However, disapprovals run riot due to the fact that Nigel would be marrying below his class. When Nigel brings Miranda home to the Marshwood estate to meet his family, Lady Marshwood's  maid Moxie  reveals that Miranda is her sister; they devise a charade so that Moxie may meet her sister as an equal. However, when Miranda lies about her past , Moxie finds it harder and harder to hide her identity. Meanwhile, Miranda's ex-boyfriend and fellow film star Don Lucas  arrives, wanting Miranda back."
2550,Slaughtered,"""Horror""",The story tells of a bloody masked killer who stalks victims in an isolated country pub.Schooner of Blood Ready to Drink!
2551,Popcorn,"""B-movie"",  ""Comedy"",  ""Horror"",  ""Slasher"",  ""Indie""","A group of film students plan an all-night horror film festival in order to raise funds for their cinema club. They decide to show a number of  horror films from the 1950s that rely on gimmicks such as 3-D, Odorama, and electrical ""buzzers"" in seats. Unbeknownst to the group, a homicidal maniac is stalking the theater where the festival is being held. A filmmaker named Lanyard Gates, who murdered his family during a screening of his only film in the 1970s, supplies the decoy killer character, since young Maggie  may or may not be his missing daughter."
2552,Bright Star,"""Romantic drama"",  ""Romance Film"",  ""Biography"",  ""Drama"",  ""Period piece""","In 1818 Hampstead, the fashionable Fanny Brawne  is introduced to poet John Keats  through the Dilke family. The Dilkes occupy one half of a double house, with Charles Brown ([[Paul Schneider   occupying the other side. Though Fanny's flirtatious personality contrasts with Keats' notably more aloof nature, she begins to pursue him after she has her siblings, Samuel and Toots, obtain his book of poetry ""Endymion"". Despite her efforts to interact with the poet it is only after witnessing her grief for the loss of his brother Tom that Keats begins to open up to Fanny's advances, when he spends Christmas with the Brawne family. After Keats begins to give poetry lessons to Fanny it becomes apparent that their attraction is mutual, however Fanny is nevertheless troubled in regards to Keats' reluctance to pursue her, for which her mother  summarizes, ""Mr Keats knows he cannot like you, he has no living and no income"". It is only after Fanny receives a valentine from Brown that Keats passionately confronts them and wonders if they are lovers. Brown, who sent the valentine in jest, warns Keats of Fanny, claiming that she is a mere flirt playing a game. On the other hand, Fanny, hurt by the accusations and Keats' lack of faith in her, ends their lessons and leaves. It is not until after the Dilkes move to Westminster that spring, leaving the Brawne family six months half rent in their home neighboring Brown, that Fanny and Keats resume their interaction and fall deeply in love. The relationship comes to an abrupt end, however, after Brown leaves for his summer rental with Keats, so that Keats may earn some money. Though Fanny is heartbroken, she is comforted by Keats' love letters. When the men return in the autumn, Fanny's mother shows concern, feeling that Fanny's attachment with the poet will hinder her from being courted. Secretly, however, Fanny and Keats are engaged. When Keats becomes ill the following winter, he spends several weeks recovering until spring, for which his friends begin a collection of funds so that he may spend the next winter in Italy where the climate is warmer. After impregnating the maid Abigail, however, Brown is unable to accompany him. Though Keats manages to find residence in London for the summer, he is taken in to live with the Brawne family following an incident in relation to his illness. It is here that, after his book sells with moderate success, Fanny's mother gives Keats her blessing to marry Fanny once he returns from Italy. The night before Keats must leave for Italy he and Fanny say their tearful goodbye in privacy, and in February—while still in Italy—Keats dies of complications from tuberculosis, just as his brother Tom did earlier in the film. In the last moments of the film Fanny cuts her hair in an act of mourning, dons black attire, and walks the snowy paths outside that Keats had walked many times in life. It is there that she recites the love sonnet he had written for her, ""Bright Star"", as she grieves the death of her lover."
2553,Year of The Devil,"""Drama"",  ""Fantasy"",  ""Comedy"",  ""Documentary""","Dutch documentary film director, Jan Holman, goes to the Czech Republic to make a film about curing alcoholism. At an Alcoholics Anonymous meeting he finds a man named Jaromir Nohavica who becomes his friend. Another friend of Nohavica, Karel Plihal, becomes mute, and Nohavica decides to start a tour with the band Čechomor to help cure him. When Jan Holman follows with his camera in tow, he finds many inexplicable events along the way."
2554,Miss Robin Crusoe,"""Comedy film"",  ""Adventure""","On September 28, 1659, a ship founders. The captain's daughter and cabin boy, Robin Crusoe , and a sailor named Sykes reach a deserted island. When Sykes tries to force Robin to show her appreciation for his efforts, she flees up a hill. In the ensuing struggle, he falls over a cliff and is killed. She soon settles in, building herself a tree house. When a party of savages shows up with two women captives, she watches from hiding as they execute one in gruesome fashion. She then rescues the other , and the two fight off the men with the aid of her flintlock. She names her new companion Friday, as that was the day of her rescue. The two women become friends. In December, Royal Navy officer Jonathan  washes ashore. Robin's experiences with lecherous sailors and her cruel father have embittered her against men, and she is hostile and suspicious at first. When Jonathan learns that she is repairing a longboat that can hold only two, he suggests that the ""fittest"" take it, and send help back for Friday. Robin, however, insists she and Friday will use the boat. Eventually, Jonathan overcomes her prejudice against him, and they spend the night together. The next morning, she awakens to find he has stolen the longboat and is sailing away. When he returns, she assumes he is a coward, and sets out to kill him. He informs her that he turned back for her. Before she can shoot him, however, the savages return and capture Friday. Robin and Jonathan rescue her, but are surrounded. When all seems lost, Robin admits she wants to marry Jonathan. Just then, a warship appears and bombards the attackers, enabling the trio to steal an outrigger canoe and reach the safety of the ship."
2555,Mano Po 4: Ako Legal Wife,"""Drama"",  ""Comedy"",  ""World cinema"",  ""Filipino Movies""","Elton Chiong  is a businessman having three wives. Chona , a pure Chinese is his legal wife having three children, Hamilton  who is a homosexual, Hibiscus  and Anthurium ; Patty , who is a Chinese with having a Visayan accent. She gives good luck to Elton, with their only son Nixon ; and Gloria , a Filipino is Elton's mistress."
2556,Like Stars on Earth,"""Musical"",  ""Drama"",  ""Bollywood"",  ""World cinema""","Ishaan Nandkishore Awasthi  is an eight-year-old boy who dislikes school and fails every test or exam. He finds all subjects difficult, and is belittled by his teachers and classmates. But Ishaan's internal world is rich with wonders that he is unable to convey to others, magical lands filled with colour and animated animals. He is an artist whose talent is unrecognised. Ishaan's father, Nandkishore Awasthi , is a successful executive who expects his children to excel. His mother, housewife Maya Awasthi , is frustrated by her inability to educate her son. Ishaan's elder brother, Yohaan , is an exemplary scholar and athlete, which Ishaan is frequently reminded of. After receiving a particularly poor academic report, Ishaan's parents send him to a boarding school. There he sinks into a state of fear and depression, despite being befriended by Rajan , physically disabled and one of the top students in his class. Ishaan's situation changes when a new art teacher, Ram Shankar Nikumbh , joins the school's faculty. An instructor at the Tulips School for young children with developmental disabilities, Nikumbh's teaching style is markedly different from that of his strict predecessor, and he quickly observes that Ishaan is unhappy and contributes little to class activities. He reviews Ishaan's work and concludes that his academic shortcomings are indicative of dyslexia. On his day off, Nikumbh visits Ishaan's parents and asks if he can see more of their son's work. He is stunned by the sophistication of one of Ishaan's paintings, and tells his parents that Ishaan is a bright child who processes information differently from other children in his class, but Ishaan's father is suspicious that the explanation is simply an excuse for his son's poor performance. Nikumbh demands that he read some Japanese text on a box and berates him when he cannot, giving him a glimpse into Ishaan's experience of school. Nikumbh describes dyslexia to them and explains that it is not a sign of low intelligence. He tells them he can provide extra tutoring that will help Ishaan, highlighting the boy's artistic ability evident in his many paintings and other creative works. Nikumbh subsequently brings up the topic of dyslexia in class, and offers a list of famous people who are considered dyslexic. As the students are leaving the classroom, Nikumbh asks Ishaan to remain behind and reveals to him that he too experienced the same difficulties with dyslexia. Nikumbh then visits the school's principal and obtains his permission to become Ishaan's tutor. He attempts to improve Ishaan's reading and writing by using remedial techniques developed by dyslexia specialists; Ishaan soon develops an interest in language and mathematics, and his grades improve. Towards the end of the school year Nikumbh organises an art fair for the staff and students. The competition is judged by artist Lalita Lajmi. Ishaan, with his strikingly creative style, is declared the winner and Nikumbh, who paints Ishaan's portrait, the runner-up. The principal announces that Nikumbh has been hired as the school's permanent art teacher. When Ishaan's parents meet his teachers on the last day of school they are left speechless by the transformation they see in him. Overcome with emotion, Ishaan's father thanks Nikumbh. As Ishaan is getting into the car to leave with his parents, he turns around and runs toward Nikumbh. The film ends with a freeze frame shot of Nikumbh tossing Ishaan into the air."
2557,Pups Is Pups,"""Children's/Family"",  ""Black-and-white"",  ""Short Film"",  ""Comedy"",  ""Family Film"",  ""Slapstick""","Wheezer attempts to find his puppies after they run off and travel across the city. At the same time, the rest of the gang crash a high-society dog conformation show where Farina is working as a page. The kids bring all manner of wild animal pets  into the show, and cause commotion and fear among the ritzy attendees. Because of the commotion the kids cause, Farina is fired. Meanwhile, Wheezer continues searching for his pups, who run toward a bell — any bell — they hear; he says, ""they think they're gonna get dinner."" They hear a goat's bell, a fire engine bell, and a huge church bell, which Wheezer himself rings in a desperate attempt to find the pups. He sits on the curb dejected until the pups, who did hear it, scamper up to him for a happy reunion. Tying the two sub-plots together is a running gag in which first-time Our Ganger Dorothy DeBorba keeps jumping into a mud puddle, amusing the other children and irritating her mother, who keeps bathing her and changing her clothes. The last time this happens, she thinks it was Farina who pushed the little girl in — and falls in the mud herself."
2558,Dharkan,"""Musical"",  ""Drama"",  ""Bollywood"",  ""World cinema""","It is the story of rebirth of millionaire child Deepak Rai who accidentally shoots his friend, Suraj Prakash  at the age of 10 and believing him to be dead, runs away from home. 14 years later, Deepak discovers that Suraj Prakash is not dead and decides to go back home with friend Kewal Sharma. On discovering that Deepak is a millionnaire, Kewal Sharma kills Deepak on the train journey to Deepak's home city  and starts living Deepak's life. Meanwhile, the real Deepak Rai  is reborn as Rekha's  brother. 5 years later, Kewal Sharma marries Rekha, who is Suraj Prakash's girlfriend. On discovering that Rekha's husband is a drunkard and a womaniser, Rekha's father dies of a heart attack and Rekha's brother  comes to stay in Deepak Rai's house. Doby, aged 5 by now, knows all about the house and the estate, although he has never been there before in his present life. Suraj Prakash and friend, Inspector Darshan  figure out the mystery behind Doby's familiarity of the place and decide to collect enough evidence against Kewal Sharma to prove him guilty of his crime of murder and deceit. The movie has whatever a Hindi movie of 1970s needed to have - good and glamorous actors, good locations and songs, a totally corrupt villain, a suffering woman, some thrill and a happy ending. Although the movie is a good entertainer, The story is really good and main theme is well scripted but due to poor editing could not make its required impact over viewers."
2559,The Perfect Holiday,"""Romantic comedy"",  ""Children's/Family"",  ""Holiday Film"",  ""Drama"",  ""Comedy"",  ""Romantic drama"",  ""Family Film"",  ""Romance Film""","Benjamin  is an aspiring songwriter who attempts to break into the music business by giving a copy of his recording track of a Christmas album to a rap artist named J-Jizzy . Nancy  is a divorced mother, who is too busy taking care of her three children to take care of herself. Her daughter Emily  overhears her mother say that she wished for a compliment from a man, and the daughter tells the local mall's Santa Claus about her mother's wish. The Santa Claus turns out to be Benjamin, who notices Nancy. Later, while sitting in a Starbucks after his shift as Santa, Benjamin and his friend Jamal  see Nancy go into a dry cleaners. Benjamin borrows Jamal's jacket, pretends to drop it off at the cleaners, tells Nancy that she's a very attractive woman , and leaves. Eventually, the two start to date and end up falling in love—without Ben realizing that Nancy's ex-husband is J-Jizzy. Things take a turn for the worse, however, because Nancy's oldest son, John-John  is jealous of Benjamin going out with his mother and plots to break up the relationship. What follows is a series of funny and touching scenes that show viewers what ""family"" is really about. Queen Latifah and Terrence Howard play omniscient roles in the movie. Howard is a mischievous and sly angel named ""Bah Humbug"", while Latifah is the kind, thoughtful angel, called ""Mrs. Christmas""."
2560,Bowl of Oatmeal,"""Short Film"",  ""Drama""",A lonely man on the brink of emotional desolation talks to his Oatmeal. His need for friendship compels the man to a bizarre act.
2561,Brahmanandam Drama Company,"""Thriller"",  ""Mystery"",  ""Romance Film"",  ""Comedy""","Anandam  runs a drama company. Vasu ([[Sivaji_, Srinu , Soni  are the heroes and heroine of the drama company. The company gets a chance to perform in Bangkok and the heroine gives them a hand. Anandam announces that whoever gets the heroine will become the heroine in the company. From there on the film takes several twists as the duo are in pursuit of a heroine and the strange circumstan."
2562,King of Texas,"""Western"",  ""Drama""","The film takes the plot of William Shakespeare's King Lear and places it in the Republic of Texas during the 19th century. Stewart stars as John Lear, a wealthy cattle baron and analog to King Lear. In the story, Lear divides his property among his daughters only to be rejected by them once they have it."
2563,Piccolo mondo antico,"""Drama""","During the Italian Risorgimento , in Austrian-occupied Lombardy, Franco Maironi , a young man of noble descent, decides to marry Luisa , a humble clerk's daughter, against his grandmother, the Marquess Orsola Maironi's wishes. The old lady makes the life of the newly married couple miserable . In the meantime, Luisa gives birth to little Maria. Franco is forced to go to Turin in search of a job. During his absence, a terrible tragedy upsets Luisa's life: her daughter drowns in Lake Como and the woman is driven to the brink of madness. Franco returns home for a short time but Luisa reacts coldly towards him. During the Second Italian War of Independence Franco becomes a volunteer soldier in the fight against Austrian and again meets his wife by Lake Maggiore. Despite Luisa's coldness, Franco is sure she still loves him. Aware that he might die in the war, he makes love to her one last time, leaving her pregnant."
2564,Go Fly a Kit,"""Short Film"",  ""Family Film"",  ""Comedy"",  ""Animation""","At the airport, a business man notices a red cat seemingly waiting for something or someone. When he asks the steward, he tells the story of a flying cat. As a kitten, he was adopted by a mother eagle. He quickly learned to fly and had to say goodbye to his mother like all eagles. One day, he noticed a bulldog chasing a female cat. He saved her from the dog, using his ability to fly. The cats fall in love with each other. Every winter, the flying cat flies south. At the end, he returns to his girlfriend, along with their flying kittens ."
2565,Aasai,"""Drama"",  ""World cinema""","Yamuna , one of the two daughters of an orthodox father, comes to Madras from finishing her studies. Major Madhavan  is the husband of Yamuna's elder sister Ganga ([[Rohini , who infatuates about Yamuna after seeing a photo in a letter sent by Yamuna. Meanwhile, Yamuna meets Jeeva , in a city bus who gives his ticket to her as she had not taken her own. Later one day on the advice of his friends, Jeeva decides to express his love to Yamuna by writing 1 4 3 in a letter and giving it to her. But he witnesses a group beating a boy who did the same thing. So he crumples the letter and it is found by Yamuna who realizes his love. One day when they were walking together Jeeva tries to remove the dirt from Yamuna's eyes and he kisses her. Yamuna is angry with him. Jeeva senses it and gets wet in the rain and gets a cold. Hearing this Yamuna meets him. Jeeva expresses that she is the only medicine to him and he needs her. Yamuna promises that she will marry him. On Yamuna's birthday, Jeeva jumps into her house and presents her a puppy. One day, fearing that Yamuna's father might not marry him to Yamuna, he decides to marry her in a register office on the advice of his friends. But Yamuna refuses and Jeeva leaves angrily. Meanwhile Madhavan settles his father-in-law's debts and earns his trust. He also pays for connecting a landline to Yamuna's house and talks to her regularly. But his wife is unaware of this. One day Madhavan's wife finds it and starts to realize his true identity. Madhavan then expresses his love affair on Yamuna to his wife. This makes her so upset that she attempts to go and live with her father and Yamuna. Madhavan prisons her in home and one day he tells her that she can go to her father's house by flight and tricks her by putting a sleeping-pill in milk and makes her drink it. She falls unconscious. Madhavan then murders his wife by suffocating her to death with a polythene cover and tying it around her neck by his shoe-lace, and lies to everyone that she died from heart attack. He then makes Yamuna and her father stay with him in Delhi to look after his baby, but he has other plans. Hearing this Jeeva comes to Delhi. One day he sees Yamuna who ignores him. Later he sees her carrying the puppy he presented and tells why she needs the puppy when she does not need him. Yamuna leaves the puppy in the middle of the road. Later that night Yamuna comes to take the puppy in the rain. Jeeva sees this and realizes that she really loves him. Couple of months later Yamuna's father  decides to get Yamuna married to Jeeva. This shocks Madhavan and he decides to stop the marriage between Jeeva and Yamuna. Yamuna's family meets Jeeva in a restaurant. While Jeeva was talking to Madhavan, a Singh dashes against him. And in the confusion Madhavan steals Jeeva's purse. Later when Jeeva senses his purse missing, he argues with the Singh. Later he suspects Madhavan and wants to check him. This angers Yamuna's father as he blindly believes Madhavan. Later Madhavan arranges some men to pour liquor into Jeeva's mouth and lay him in the middle of the road. Madhavan makes Yamuna and her father believe that Jeeva is a drunkard. Madhavan later gives Jeeva's flight ticket and wants to send him to Madras. But Jeeva makes a fool of Madhavan by tearing the ticket and spends the day with Yamuna. In a rage, Madhavan makes his baby get wet in the rain and calls Yamuna to look for his baby. Meanwhile Jeeva complains to Captain Hariharan  who is a friend and higher officer to Madhavan, but he does not believe Jeeva. Later when celebrating Holi, Madhavan asks Jeeva the puppy he had presented to Yamuna. Jeeva gives it and Madhavan purposely throws it at a running car. The puppy dies and Madhavan makes everyone believe that Jeeva threw the puppy. An argument ensues between them and Madhavan tries to kill Jeeva with a rod but leaves him on behalf of Yamuna. One day Hariharan finds the truth about Madhavan and questions him. An enraged Madhavan arranges men and kills Hariharan, faking it to be a car accident. Madhavan hides brown sugar in Jeeva's pillows and informs the police. Jeeva lands in Jail. One day while meeting Jeeva in jail, Madhavan tells him how he cruelly killed his own wife for getting Yamuna. Yamuna overhears this and informs her father. They plan to escape but Madhavan arrives and hits Yamuna's father with a lamp and holds her imprisoned in his house. Jeeva escapes from jail and arrives there. A fight ensues between Madhavan and Jeeva, in which Jeeva gains the upper hand. Yamuna and Jeeva take the baby to the hospital as it fainted. Yamuna's father locks the doors, opens the gas cylinder and lights a match stick in which they both die in the explosion. In the end, Jeeva is released from prison and is united with Yamuna and the baby."
2566,One Night Stand,"""Drama""","In Australia, four teenagers in the Sydney Opera House are horrified to hear the news that nuclear war has broken out in Eastern Europe. They try to figure out the best way they can survive the coming conflagration. At the film's end, it is left uncertain whether Sydney will be hit by nuclear weapons, although the US spy facility at Pine Gap has been obliterated."
2567,His Prehistoric Past,"""Silent film"",  ""Indie"",  ""Black-and-white"",  ""Short Film"",  ""Fantasy"",  ""Comedy""","Set in the stone age, King Low-Brow rules the land and a harem of wives. When Charlie arrives in this land , he falls in love with the King's favorite wife. When the King falls over a cliff, he is presumed dead and Charlie crowns himself King. The King, however, is not dead and comes back and bashes Charlie over the head with a rock. It turns out it was a dream and a police man bashed Charlie over the head with his club because he was sleeping in the park."
2568,Certified Copy,"""Romantic drama"",  ""Romance Film"",  ""Drama"",  ""World cinema""","British writer James Miller  is in Tuscany to give a talk about his new book, titled ""Certified Copy"", which argues that, in art, issues of authenticity are irrelevant, because every reproduction is itself an original and even the original is a copy of another form. A French antiques dealer, whose name is never given , attends the talk with her 11-year-old son in order to have Miller sign the copies she has bought of the book, but has to leave early because her son is hungry. She drops off her phone number with Miller's translator. Miller and the woman then meet at her shop, and Miller suggests they get out and see some of the countryside. The woman drives them around aimlessly while Miller signs the books, and they talk about the book's subject. They then visit a museum, and the woman gets increasingly distraught as she complains about her rebellious son and Miller seems to defend her son's behavior. They then go to a cafe. Miller steps out to take a phone call, and the woman who runs the cafe, thinking Miller is the woman's husband, gets into a conversation with the woman about marriage and about him specifically. After Miller returns and the two leave the cafe, the nature of their discussion changes: they start to speak in a combination of French and English instead of just English , and, more unexpectedly, they now speak as if they truly are a married couple, who have been married for 15 years, and the son is both of theirs. It is left unclear which, if either, is the true reality of the film."
2569,Theodora Goes Wild,"""Romantic comedy"",  ""Screwball comedy"",  ""Comedy"",  ""Black-and-white""","Theodora Lynn  is a Sunday school teacher and former church organist raised by two spinster aunts, Mary  and Elsie Lynn . She also happens to be, under the pen name Caroline Adams, the secret author of a bestselling book that has the straitlaced Lynnfield Literary Circle in an uproar. When it is serialized in the local newspaper, the Circle, led by outraged busybody Rebecca Perry , forces Jed Waterbury ([[Thomas Mitchell  to stop printing the salacious installments. Theodora travels to New York City on the pretext of visiting her uncle John ([[Robert Greig , but actually to see her publisher, Arthur Stevenson . Though Stevenson reassures an anxious Theodora that only he and his secretary know her identity, his wife Ethel  pressures him into an introduction, which the book's illustrator, Michael Grant , overhears. Intrigued, Michael invites himself to dinner with the Stevensons and Theodora. Theodora becomes annoyed when Michael smugly assumes that she is a teetotaler, so she orders a whiskey. As the night goes on, she becomes drunk. So does Ethel, forcing Arthur to take his wife home and leaving Theodora alone with Michael. When he makes a pass at her, she panics and flees, much to his amusement. He tracks her down to her hometown and blackmails her into hiring him as a gardener, scandalizing her aunts and providing Rebecca Perry plenty to gossip about. Michael declares that he is going to break Theodora out of her confining routine, ignoring her protests that she likes her life just the way it is. Despite herself, she enjoys herself very much when Michael makes her go berrypicking and fishing with him. Finally, she gets up the nerve to tell the disapproving women of the Literary Circle that she loves him. When she tells Michael what she has done, he is less than thrilled. The next day, Theodora finds that he has gone away. She tracks him down to his Park Avenue apartment. He admits he loves her, but then his father , the Lieutenant Governor, shows up, followed by Michael's wife, Agnes . The estranged couple are only remaining married to avoid causing a political scandal for Michael's father. Theodora determines to free Michael just as he had done for her. He wants her to hold off until his father's term ends, but she is unwilling to wait that long. To that end, she courts publicity. She finally crashes the Governor's ball and arranges for reporters to photograph her embracing Michael. Agnes seeks a divorce to avoid looking like a fool. Theodora returns to Lynnfield and is warmly welcomed as a celebrity, even by her now-supportive aunts. She causes further talk when she brings a newborn baby with her. When Michael, now divorced, sees the child, he tries to flee, but then Theodora reveals that the baby belongs to Rebecca Perry's own secretly-married daughter."
2570,War Wolves,"""Horror""","War Wolves depicts the lives of several Army soldiers who are ambushed in a small town in the Middle East. They return home and to their normal lives, however they find that they had changed considerably. Growing fangs at will and slowly going through a mysterious and painful change, they part ways when they realize their own taste for blood. Refusing to give in one finds a life away from it all, going under the name of Lawrence Talbot. But escaping his life he finds is impossible as the members of his ""pack"" attempt to hunt him down and convert him to the more thrilling life their changes are introducing them to."
2571,Shubho Mahurat,"""Crime Fiction"",  ""Mystery"",  ""Drama""","The phrase ""shubho mahurat"" is associated with the beginning of shooting for a feature film. The first day of shooting is usually marked by a grand reception, followed by a token shooting or vice-versa. This Miss Marple-esque film began with this event. An NRI producer, Padmini Chowdhury , has come to India to invest in a film. Her second husband Sambit Roy , an out-of-work director is assigned the job of direction. The out-of-work director had a shady past. The witness to his shady past was an aspiring actor, who was subsequently thrown out of the acting circuit. Thereafter, this actor started a catering service for the film unit. The NRI producer insisted on casting a retired actress, Kakoli  in a prominent role. Kakoli, a drug addict, subsequently died under mysterious circumstances, on the day of 'Shubho Mahurat'. The journalist Mallika Sen  was the only person present at the time of the death. The suspicion naturally fell on the husband of the actress. The husband reportedly has an amorous relationship with another lady. The unnatural death of the actress made the police come into the scene. An IPS officer named Arindam  took up the investigation. During the course of investigation, Arindam befriends Mallika. Meanwhile, Mallika caught the fancy of a still photographer named Jojo  who, incidentally, is closely related to the NRI producer. This NRI producer had a past no less interesting than the other protagonists. The NRI producer was an actress of repute in her heyday. She divorced her husband and left the country to settle abroad. Before that, she had given birth to an abnormal child. The course of the film revealed that she bore a grudge against Kakoli for spreading a contagious disease to her while she was pregnant, resulting in the abnormal child. Another amorous affair runs parallel to the main theme: The camera assistant was repenting for his past affair with the hairdresser. The hairdresser had her problems and she was extracting money very often from the camera assistant. All through the movie, the aunt of the journalist, Ranga Pishima , gave vital leads to the investigation through deductive logic. She was able to read the mind of the niece correctly. Her valuable inputs finally leads to solving of the murder mystery."
2572,The Dead Next Door,"""Thriller"",  ""Action Thrillers"",  ""Horror"",  ""Action/Adventure"",  ""Zombie Film"",  ""Action""","The movie features an elite team of soldiers, the ""Zombie Squad"", who have been enlisted by the government to deal with a growing epidemic of zombies, while scientists work towards a cure for the virus that creates them. The squad must also fight against a religious cult which wishes to protect and enable the zombies, believing them to be a punishment ordained by God. Many of the characters are named after people who have made their marks in the horror and zombie movie fields, such as ""Savini"", ""Romero"", ""Raimi"" and ""King""."
2573,Malibu Shark Attack,"""Thriller"",  ""Science Fiction"",  ""Horror"",  ""Television movie""","Heather  is the head-lifeguard on a Malibu beach, alongside her ex-boyfriend Chavez , Doug  and Barb . Also on the beach are Jenny , a teenage girl who is reluctantly cleaning the beach for community service after she got caught shoplifting, and Bryan , Barb's boyfriend who proposes to her. Meanwhile, a tremor unleashes a group of prehistoric goblin sharks who begin to devour swimmers along the beach. Chavez travels to a nearby house that is undergoing construction and meets with the workers Colin , who is Heather's new boyfriend, George , Yancey  and Karl . A warning of a tsunami arises and Chavez returns to the beach, saving Heather who had been knocked into the water by a shark after being sent to investigate some people causing trouble in the water. Doug and Barb evacuate the beach, and take shelter in the lifeguard hut with Heather, Chavez, Jenny and Bryan. As the tsunami hits, Bryan is knocked unconscious and Jenny suffers a large cut on her leg. Heather manages to stitch the cut together, however the blood attracts the goblin sharks, as the group realize they are stranded in the hut, with help unlikely due to the damage the tsunami has created. The sharks soon begin to attack the hut and manage to break the floor, dragging Barb out of the hut and devouring her. As the group mourn Barb's death, the construction crew have become stranded in the house they were working at. Yancey decides to try to swim to land and get help, however she is quickly attacked and eaten by sharks, before a shark jumps up and drags Karl into the water. Soon after, Colin and George discover a boat and begin to travel to the hut. Back at the hut, the group manage to kill one of the sharks, before Chavez swims out of the hut to retrieve a flare gun. The others attempt to distract the sharks, however one attempts to eat Chavez, resulting in him shooting and killing the shark with the flare gun, instead of summoning help. Chavez returns to the hut, before the group move up to the roof as the sharks continue to damage the hut. Colin and George arrive on the boat and everyone boards, but the fuel soon runs out, forcing them to drift to land. After hours, the boat reaches the house that was under construction. The boat becomes stuck on a gate, so George eneters the site to try and find pliers to open the gate. As the rest wait, the sharks arrive. Bryan jumps into the water, sacrificing himself so the rest can escape. Doug, Jenny and Colin manage to get into the flooded house and encounter a shark but manage to kill it, while Heather and Chavez discover a half eaten George, before taking shelter in a car, where they reconcile. Chavez kills another shark, before entering the house with Heather. The group meet up, and manage to trap and kill the final shark. In the morning, a helicopter arrives to rescue Heather, Chavez, Doug, Jenny and Colin."
